,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
29,Census Tract 203.01,white,1226.312662395807,1274.6168033492963,0.039389743280575124,48.30414095348942,5.0,2022,2022,0,Total,73539,6421.0,Census Tract 203.01,14000US17031020301
30,Census Tract 8387,white,517.6853139679268,518.250445074155,0.0010916498710317852,0.5651311062281366,0.3333333333333333,2022,2022,0,Total,21834,8437.0,Census Tract 8387,14000US17031838700
31,Census Tract 206.01,white,374.90061475072037,404.62115778322107,0.07927579167151418,29.7205430325007,1.434717911166682,2022,2022,0,Total,61046,15666.0,Census Tract 206.01,14000US17031020601
32,Census Tract 8415,white,601.5118117724271,605.8512987972472,0.007214300600404257,4.339487024820073,1.0,2022,2022,0,Total,26950,13004.0,Census Tract 8415,14000US17031841500
33,Census Tract 8386,black,183.59890396865114,184.1605624410367,0.0030591602686334475,0.5616584723855453,0.2,2022,2022,0,Total,18537,5876.0,Census Tract 8386,14000US17031838600
34,Census Tract 8373,black,163.42245800102634,163.42245800102634,0.0,0.0,0.0,2022,2022,0,Total,18949,7939.000000000001,Census Tract 8373,14000US17031837300
35,Census Tract 206.02,white,786.815393995523,812.5436505802458,0.032699228791231764,25.72825658472277,2.2750945308416064,2022,2022,0,Total,83839,17207.0,Census Tract 206.02,14000US17031020602
36,Census Tract 633.01,white,537.651359590845,543.9527259462687,0.011720171897675671,6.301366355423738,1.3180654008806243,2022,2022,0,Total,66447,14397.0,Census Tract 633.01,14000US17031063301
37,Census Tract 8378,black,372.06248627491675,376.541156415934,0.01203741389210614,4.478670141017233,0.5,2022,2022,0,Total,58681,36958.0,Census Tract 8378,14000US17031837800
38,Census Tract 8369,black,493.57089013372934,495.51712443843735,0.003943170765562565,1.946234304708014,0.8325711282332502,2022,2022,0,Total,25650,19309.0,Census Tract 8369,14000US17031836900
39,Census Tract 203.02,white,1027.0011588965228,1100.9704915813609,0.07202458540973364,73.96933268483804,4.003968612314873,2022,2022,0,Total,84205,15264.0,Census Tract 203.02,14000US17031020302
40,Census Tract 107.01,white,767.1338485998328,787.5580780108278,0.026624075379118123,20.42422941099494,1.0110335114990576,2022,2022,0,Total,70542,13567.0,Census Tract 107.01,14000US17031010701
41,Census Tract 301.03,white,866.1072317053857,933.7790218944949,0.07813327000614209,67.67179018910917,1.0,2022,2022,0,Total,53684,9085.0,Census Tract 301.03,14000US17031030103
42,Census Tract 633.03,white,1089.771472357382,1089.771472357382,0.0,0.0,0.0,2022,2022,0,Total,102500,15039.0,Census Tract 633.03,14000US17031063303
43,Census Tract 301.02,white,956.8498399804156,1033.5387500313664,0.0801472779182577,76.68891005095077,1.617463352945772,2022,2022,0,Total,55067,11380.0,Census Tract 301.02,14000US17031030102
44,Census Tract 105.02,white,512.8565633422904,563.0398040494946,0.09785044063813783,50.18324070720416,1.7000875578100245,2022,2022,0,Total,55813,13436.0,Census Tract 105.02,14000US17031010502
45,Census Tract 105.03,white,194.86651330901802,199.43839776740253,0.023461621911069208,4.571884458384517,0.27569495284840106,2022,2022,0,Total,18750,4614.0,Census Tract 105.03,14000US17031010503
46,Census Tract 107.02,white,984.1285864953221,1014.0250726626576,0.030378638094238138,29.896486167335524,1.2321871283174277,2022,2022,0,Total,52193,4707.0,Census Tract 107.02,14000US17031010702
47,Census Tract 8371,black,489.42120360586654,491.5909471182765,0.004433284656292263,2.1697435124099798,0.5,2022,2022,0,Total,48880,20912.0,Census Tract 8371,14000US17031837100
48,Census Tract 8370,black,201.70332669764412,203.5876012977525,0.009341812209835041,1.884274600108398,0.6323425949026555,2022,2022,0,Total,41023,16465.0,Census Tract 8370,14000US17031837000
49,Census Tract 102.01,white,959.2776041144416,985.9888682216199,0.027845186828724968,26.711264107178295,2.0146017116209856,2022,2022,0,Total,61071,21821.0,Census Tract 102.01,14000US17031010201
50,Census Tract 404.01,white,499.82293267191045,528.9195474478715,0.05821384509193867,29.096614775961086,1.714424824455709,2022,2022,0,Total,107083,22839.0,Census Tract 404.01,14000US17031040401
51,Census Tract 2106.02,white,643.9117377735383,654.9039491913119,0.017070990902854875,10.992211417773547,1.0278835867528442,2022,2022,0,Total,102625,22614.0,Census Tract 2106.02,14000US17031210602
52,Census Tract 1605.01,white,403.7553475023702,440.14108992954516,0.09011829230809465,36.38574242717493,1.3621486588699876,2022,2022,0,Total,73946,15643.0,Census Tract 1605.01,14000US17031160501
53,Census Tract 1906.02,white,1045.1781135300278,1123.3178161656517,0.07476209234013875,78.13970263562396,4.0,2022,2022,0,Total,61308,20298.0,Census Tract 1906.02,14000US17031190602
54,Census Tract 8402,white,265.24639064030634,265.24639064030634,0.0,0.0,0.0,2022,2022,0,Total,41359,21232.0,Census Tract 8402,14000US17031840200
55,Census Tract 207.01,white,989.5333506546094,996.7837679505277,0.007327107561480256,7.250417295918282,3.0,2022,2022,0,Total,92024,33366.0,Census Tract 207.01,14000US17031020701
56,Census Tract 8314,black,484.9249398823313,485.1391986554188,0.00044183904655329276,0.21425877308752206,0.09289986325242024,2022,2022,0,Total,33210,18397.0,Census Tract 8314,14000US17031831400
57,Census Tract 105.01,white,803.3043884512501,835.0964539326435,0.0395766112303801,31.792065481393365,1.7990454238571183,2022,2022,0,Total,47858,10110.0,Census Tract 105.01,14000US17031010501
58,Census Tract 8330,white,343.37338096346616,352.957921667608,0.0279128821146494,9.58454070414183,0.1878362797033036,2022,2022,0,Total,192608,35536.0,Census Tract 8330,14000US17031833000
59,Census Tract 2521.01,black,641.5690425401784,641.5690425401784,0.0,0.0,0.0,2022,2022,0,Total,35574,19790.0,Census Tract 2521.01,14000US17031252101
60,Census Tract 2521.02,black,542.185046114576,552.3755029721001,0.018795163995302407,10.190456857524055,0.5,2022,2022,0,Total,47255,19849.0,Census Tract 2521.02,14000US17031252102
61,Census Tract 2522.02,black,911.6180163577876,1069.1611439157407,0.17281704039526274,157.54312755795308,10.0,2022,2022,0,Total,41167,16537.0,Census Tract 2522.02,14000US17031252202
