,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 3515,white,88.9,88.9,0.0,0.0,0.0
Census Tract 9801,white,220.00000000000003,220.00000000000003,0.0,0.0,0.0
Census Tract 8333,white,255.5,255.5,0.0,0.0,0.0
Census Tract 8329,white,226.39999999999998,226.39999999999998,0.0,0.0,0.0
Census Tract 8380,black,182.4,182.4,0.0,0.0,0.0
Census Tract 8381,black,215.5,215.5,0.0,0.0,0.0
Census Tract 307.06,white,136.5,136.5,0.0,0.0,0.0
Census Tract 3815,black,147.7,147.7,0.0,0.0,0.0
Census Tract 8331,white,234.7,239.0,0.01832126118449089,4.300000000000011,1.0
Census Tract 8391,white,48.0,48.0,0.0,0.0,0.0
Census Tract 812.01,white,169.7,169.7,0.0,0.0,0.0
Census Tract 1504.01,white,100.80000000000001,100.80000000000001,0.0,0.0,0.0
Census Tract 1505.01,white,166.8,166.8,0.0,0.0,0.0
Census Tract 8430,black,203.9,203.9,0.0,0.0,0.0
Census Tract 8429,white,192.7,192.7,0.0,0.0,0.0
Census Tract 8421,black,62.3,208.10000000000002,2.3402889245585876,145.8,1.0
Census Tract 8419,white,219.89999999999998,219.89999999999998,0.0,0.0,0.0
Census Tract 802.01,white,261.70000000000005,261.70000000000005,0.0,0.0,0.0
Census Tract 701.01,white,280.90000000000003,280.90000000000003,0.0,0.0,0.0
Census Tract 404.02,white,33.0,33.0,0.0,0.0,0.0
Census Tract 2207.02,white,88.8,101.19999999999999,0.13963963963963955,12.399999999999991,1.0
Census Tract 1403.01,white,101.60000000000001,101.60000000000001,0.0,0.0,0.0
Census Tract 8422,white,251.5,291.4,0.15864811133200787,39.89999999999998,2.0
Census Tract 8437,white,219.5,281.5,0.2824601366742597,62.0,2.0
Census Tract 8350,white,191.8,213.8,0.11470281543274244,22.0,2.0
Census Tract 8423,white,163.20000000000002,172.2,0.05514705882352923,8.999999999999972,1.0
Census Tract 2302,white,195.0,264.0,0.35384615384615387,69.0,2.0
Census Tract 8351,white,102.60000000000001,102.60000000000001,0.0,0.0,0.0
Census Tract 8347,black,167.6,167.6,0.0,0.0,0.0
Census Tract 1510.01,white,218.0,241.5,0.10779816513761468,23.5,1.0
Census Tract 1510.02,white,149.3,172.8,0.15740120562625584,23.5,1.0
Census Tract 1606.02,white,210.6,210.6,0.0,0.0,0.0
Census Tract 1406.01,white,98.4,98.4,0.0,0.0,0.0
Census Tract 1407.01,white,12.9,12.9,0.0,0.0,0.0
Census Tract 1406.02,white,63.199999999999996,63.199999999999996,0.0,0.0,0.0
Census Tract 3905,black,109.1,109.1,0.0,0.0,0.0
Census Tract 8418,black,180.5,180.5,0.0,0.0,0.0
Census Tract 8425,black,122.5,194.8,0.5902040816326531,72.30000000000001,1.0
Census Tract 8426,white,163.7,163.7,0.0,0.0,0.0
Census Tract 8435,white,196.9,313.09999999999997,0.5901472828847129,116.19999999999996,1.0
Census Tract 8434,white,153.5,189.3,0.2332247557003258,35.80000000000001,1.0
Census Tract 1403.02,white,150.3,150.3,0.0,0.0,0.0
Census Tract 1105.01,white,214.89999999999998,214.89999999999998,0.0,0.0,0.0
Census Tract 3904,black,71.7,71.7,0.0,0.0,0.0
Census Tract 8432,white,76.3,76.3,0.0,0.0,0.0
Census Tract 8408,white,153.2,153.2,0.0,0.0,0.0
Census Tract 1105.02,white,159.7,159.7,0.0,0.0,0.0
Census Tract 7608.02,white,55.1,55.1,0.0,0.0,0.0
Census Tract 1505.02,white,152.60000000000002,152.60000000000002,0.0,0.0,0.0
Census Tract 8431,white,50.5,50.5,0.0,0.0,0.0
Census Tract 8343,black,134.2,134.2,0.0,0.0,0.0
Census Tract 8439,black,120.1,120.1,0.0,0.0,0.0
Census Tract 8312,white,91.29999999999998,91.29999999999998,0.0,0.0,0.0
Census Tract 8316,white,197.10000000000002,197.10000000000002,0.0,0.0,0.0
Census Tract 8315,white,93.1,93.1,0.0,0.0,0.0
Census Tract 8311,white,218.20000000000002,218.20000000000002,0.0,0.0,0.0
Census Tract 8317,white,134.2,134.2,0.0,0.0,1.0
Census Tract 2715,black,111.7,111.7,0.0,0.0,0.0
Census Tract 4402.02,black,184.70000000000002,184.70000000000002,0.0,0.0,0.0
Census Tract 4401.02,black,148.9,148.9,0.0,0.0,0.0
Census Tract 307.02,white,152.79999999999998,188.7,0.23494764397905765,35.900000000000006,1.0
Census Tract 306.03,white,118.2,118.2,0.0,0.0,0.0
Census Tract 307.01,white,194.3,203.0,0.044776119402985017,8.699999999999989,1.0
Census Tract 8363,black,93.69999999999999,93.69999999999999,0.0,0.0,0.0
Census Tract 8383,white,234.8,234.8,0.0,0.0,0.0
Census Tract 8398,white,267.0,267.0,0.0,0.0,0.0
Census Tract 8366,black,96.6,96.6,0.0,0.0,0.0
Census Tract 7302.02,black,200.0,200.0,0.0,0.0,0.0
Census Tract 4301.01,black,137.2,137.2,0.0,0.0,0.0
Census Tract 633.02,white,271.7,315.79999999999995,0.1623113728376885,44.099999999999966,1.0
Census Tract 8362,black,115.69999999999999,115.69999999999999,0.0,0.0,0.0
Census Tract 714,white,314.5,314.5,0.0,0.0,0.0
Census Tract 8401,white,270.6,270.6,0.0,0.0,0.0
Census Tract 5805.02,white,134.8,134.8,0.0,0.0,0.0
Census Tract 8414,white,136.70000000000002,136.70000000000002,0.0,0.0,0.0
Census Tract 814.01,white,151.2,153.2,0.013227513227513229,2.0,1.0
Census Tract 814.03,white,195.2,198.2,0.015368852459016395,3.0,1.0
Census Tract 307.03,white,156.10000000000002,166.6,0.0672645739910312,10.499999999999972,1.0
Census Tract 8360,black,127.69999999999999,127.69999999999999,0.0,0.0,0.0
Census Tract 8358,black,127.8,127.8,0.0,0.0,0.0
Census Tract 8359,black,45.900000000000006,45.900000000000006,0.0,0.0,0.0
Census Tract 8345,black,131.4,131.4,0.0,0.0,0.0
Census Tract 8436,black,11.3,11.3,0.0,0.0,0.0
Census Tract 5805.01,white,206.2,206.2,0.0,0.0,0.0
Census Tract 8346,black,81.1,81.1,0.0,0.0,0.0
Census Tract 8318,white,110.69999999999999,110.69999999999999,0.0,0.0,0.0
Census Tract 716,white,339.2,360.79999999999995,0.06367924528301877,21.599999999999966,1.0
Census Tract 8326,white,275.2,275.2,0.0,0.0,0.0
