Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,flow_weight,income
Census Tract 8424,black,885.3341913143815,885.3341913143815,0.0,0.0,0.0,229.3874,72616.0
Census Tract 8403,white,684.660643127557,684.7178842230038,8.360506189651055e-05,0.0572410954467841,1.0,263.182,65909.0
Census Tract 8411,white,332.4733355588202,332.57043634635795,0.0002920558647944,0.0971007875377267,0.0587003105266705,3287.2266,48542.0
Census Tract 8412,white,501.1104427078906,503.0550511473926,0.0038805985143588,1.9446084395019625,0.3519193091211055,1741.2781,60498.0
Census Tract 8390,white,430.9291961227552,487.2904845359097,0.1307901365706011,56.36128841315451,1.1380527325900305,8513.0689,110306.0
Census Tract 6503.01,white,416.1303459066643,443.016239501315,0.0646093077784841,26.885893594650724,1.4774347308284572,1934.2592,59569.0
Census Tract 7608.03,white,1042.9809436658572,1042.9809436658572,0.0,0.0,0.0,181.7757,63155.0
Census Tract 306.01,white,607.3090286933143,662.1584904199842,0.0903155710440926,54.84946172666992,1.2061142130890146,4619.3287,51808.0
Census Tract 306.04,white,678.8662109970448,696.7365860369262,0.0263238540236599,17.87037503988131,0.8593747312379771,1058.0922,49816.0
Census Tract 208.01,white,589.8464283881685,640.0908146294048,0.0851821488154731,50.24438624123627,1.709978894962902,4696.4075,71953.0
Census Tract 5401.02,black,629.1750127976211,632.8730754843727,0.0058776375595531,3.698062686751655,0.4793187103282529,3898.5238,28711.0
Census Tract 8433,white,498.0758138338664,498.0758138338664,0.0,0.0,0.0,68.4132,41250.0
Census Tract 5401.01,black,700.9313824617002,700.9313824617002,0.0,0.0,0.0,1031.7427,16712.0
Census Tract 4402.01,black,522.2704670842272,524.0485024041446,0.003404433970475,1.7780353199174217,0.0295940429433986,3853.2721,34355.0
Census Tract 802.02,white,282.53040365247256,286.83644656952424,0.0152409895054988,4.306042917051684,0.6064993069265712,795.0817000000001,103948.0
Census Tract 701.02,white,485.02199220704665,519.5769868745143,0.0712441811354335,34.55499466746767,2.045165341226447,1753.2961,92641.0
Census Tract 315.01,white,922.0508046577148,927.3766047028048,0.0057760375222132,5.325800045089864,0.6247097864660913,1154.1071,48889.0
Census Tract 315.02,white,663.5474432692758,665.3660410347082,0.002740720025191,1.8185977654324008,0.2224138084450462,736.7151,47188.0
Census Tract 8348,black,111.47062566595883,111.47062566595883,0.0,0.0,0.0,549.8501,20771.0
Census Tract 1605.02,white,614.725756064588,660.2587077724392,0.0740703496781206,45.53295170785111,2.0,73.6225,100147.0
Census Tract 1407.02,white,744.286232071047,759.1650001395842,0.0199906533634722,14.87876806853717,0.8369093506871949,1835.2726,73571.0
Census Tract 8420,white,123.15513152919608,123.15513152919608,0.0,0.0,0.0,1588.7831,116875.0
