,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 1104,white,,,,,
Census Tract 2801,white,122.6,124.1,0.012234910277324634,1.5,1.0
Census Tract 1201,white,446.90000000000003,478.6666666666667,0.07108227045573204,31.76666666666665,1.0
Census Tract 2808,black,,,,,
Census Tract 1202,white,338.0,370.56666666666666,0.09635108481262326,32.56666666666666,1.3333333333333333
Census Tract 2714,black,,,,,
Census Tract 710,white,381.1666666666667,407.6333333333334,0.06943594228246619,26.466666666666697,1.3333333333333333
Census Tract 2819,white,,,,,
Census Tract 5501,white,,,,,
Census Tract 712,white,373.75,413.75,0.10702341137123746,40.0,2.0
Census Tract 6115,white,251.85000000000002,282.85,0.12308914036132618,31.0,1.0
Census Tract 6118,white,245.70000000000002,332.20000000000005,0.35205535205535216,86.50000000000003,1.0
Census Tract 6119,white,294.90000000000003,381.40000000000003,0.2933197694133604,86.5,1.0
Census Tract 6120,white,330.1,416.6,0.2620418055134807,86.5,1.0
Census Tract 6201,white,276.6,314.20000000000005,0.13593637020968916,37.60000000000002,1.0
Census Tract 6202,white,246.0,323.29999999999995,0.3142276422764226,77.29999999999995,1.5
Census Tract 702,white,336.5,369.3333333333333,0.09757305596830108,32.833333333333314,1.3333333333333333
Census Tract 704,white,366.90000000000003,387.1333333333334,0.05514672481148364,20.23333333333335,1.6666666666666667
Census Tract 705,white,343.3333333333333,364.6333333333334,0.06203883495145651,21.300000000000068,1.6666666666666667
Census Tract 1303,white,,,,,
Census Tract 2922,white,,,,,
Census Tract 6309,white,231.5,240.9,0.040604751619870434,9.400000000000006,2.0
