,Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
0,Census Tract 8424,1,885.3341913143815,885.3341913143815,0.0,0.0,0.0
1,Census Tract 8403,0,684.660643127557,684.7178842230038,8.360506189651055e-05,0.0572410954467841,1.0
2,Census Tract 8411,0,347.68708957709606,348.0546847838771,0.0010572587185454,0.3675952067810613,0.2222222222222222
3,Census Tract 8412,0,497.9828549310228,499.2580216584523,0.0025606639160421,1.275166727429507,0.2307692307692307
4,Census Tract 8390,0,340.28839531506,362.8465028824373,0.0662911456222056,22.558107567377306,0.5357142857142857
5,Census Tract 8382,1,0.0,0.0,0.0,0.0,0.0
6,Census Tract 6503.01,0,658.9288679299073,704.8983143278825,0.0697638981008572,45.96944639797528,2.0
7,Census Tract 7608.03,0,1042.9809436658572,1042.9809436658572,0.0,0.0,0.0
8,Census Tract 306.01,0,724.4772522661398,788.5086535139344,0.0883829009779211,64.03140124779463,1.263157894736842
9,Census Tract 306.04,0,723.032521798713,733.3140430306396,0.0142199983015271,10.281521231926604,0.5454545454545454
10,Census Tract 208.01,0,590.9193738656454,641.3287930498282,0.0853067633481316,50.40941918418275,1.714285714285714
11,Census Tract 5401.02,1,748.7535203339974,751.9064219491856,0.0042108671673181,3.1529016151882843,0.6000000000000001
12,Census Tract 8433,0,498.0758138338664,498.0758138338664,0.0,0.0,0.0
13,Census Tract 5401.01,1,726.5531890521261,726.5531890521261,0.0,0.0,0.0
14,Census Tract 4402.01,1,795.2382418890244,801.2463271084658,0.0075550758288104,6.008085219441455,0.1
15,Census Tract 802.02,0,286.5551098042061,290.81700676788125,0.0148728702363294,4.261896963675099,0.6000000000000001
16,Census Tract 701.02,0,489.30618270194736,525.5251094921587,0.0740209874116253,36.2189267902113,2.142857142857143
17,Census Tract 315.01,0,869.6211060677782,871.9280737127468,0.0026528422882928,2.3069676449686085,0.2857142857142857
18,Census Tract 315.02,0,663.5011160636964,665.3170372888665,0.0027368774237235,1.8159212251700865,0.2222222222222222
19,Census Tract 8348,1,111.47062566595883,111.47062566595883,0.0,0.0,0.0
20,Census Tract 1605.02,0,614.725756064588,660.2587077724392,0.0740703496781206,45.53295170785111,2.0
21,Census Tract 1407.02,0,798.2561525110416,807.0028017864743,0.0109571961931251,8.746649275432674,0.5555555555555556
22,Census Tract 8420,0,123.15513152919608,123.15513152919608,0.0,0.0,0.0
23,Census Tract 1504.02,0,568.0648452820615,603.5551813924119,0.0624758536021154,35.49033611035043,2.25
24,Census Tract 8344,1,366.8171883234976,382.2031061446399,0.041944375320748,15.3859178211423,0.8
25,Census Tract 402.01,0,734.8729752182768,776.1593363379387,0.0561816293590042,41.28636111966193,2.125
26,Census Tract 402.02,0,699.0228519988614,770.1060114744871,0.1016893214182667,71.08315947562573,2.6000000000000005
27,Census Tract 207.02,0,347.00788691230935,357.19556312668954,0.0293586301597654,10.18767621438019,0.75
