,Unnamed: 0.1,Unnamed: 0,sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude,tract
3945,3945,15366,70005259,10000,-1,1,IL,USA,17,31,40600,0,1,41.966834,-87.684018,Census Tract 406
3946,3946,15367,70005259,10002,1,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
3947,3947,15368,70005259,30003,3,3,IL,USA,17,31,833300,0,0,41.871694,-87.654124,Census Tract 8333
3948,3948,15369,70005259,40003,4,3,IL,USA,17,31,30103,0,0,41.995524,-87.655153,Census Tract 301.03
3949,3949,15370,70005259,50003,5,3,IL,USA,17,31,30103,0,0,41.995524,-87.655153,Census Tract 301.03
3952,3952,15405,70005263,10000,-1,1,IL,USA,17,31,60900,0,1,41.951517,-87.641778,Census Tract 609
3953,3953,15406,70005263,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
3954,3954,15440,70005265,10000,-1,1,IL,USA,17,31,282700,0,1,41.871367,-87.688681,Census Tract 2827
3955,3955,15441,70005265,10002,1,2,IL,USA,17,31,81800,0,0,41.893324,-87.63919,Census Tract 818
3956,3956,15442,70005265,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
3959,3959,15448,70005269,10000,-1,1,IL,USA,17,31,62900,0,1,41.936237,-87.656411,Census Tract 629
3960,3960,15449,70005269,10002,1,2,IL,USA,17,31,760801,0,0,41.983487,-87.84485,Census Tract 7608.01
3961,3961,15450,70005269,20002,2,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
3976,3976,15480,70005280,10000,-1,1,IL,USA,17,31,30102,0,1,41.993026,-87.655022,Census Tract 301.02
3977,3977,15481,70005280,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
3978,3978,15482,70005280,20002,2,2,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
3981,3981,15487,70005285,10000,-1,1,IL,USA,17,31,61500,0,1,41.945282,-87.661545,Census Tract 615
3982,3982,15488,70005285,10002,1,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
3983,3983,15489,70005285,20002,2,2,IL,USA,17,31,830800,0,0,41.965141,-87.676577,Census Tract 8308
4019,4019,15581,70005321,10000,-1,1,IL,USA,17,31,330100,0,1,41.859295,-87.615523,Census Tract 3301
4020,4020,15582,70005321,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4021,4021,15583,70005321,20002,2,2,IL,USA,17,31,590700,0,0,41.826054,-87.662789,Census Tract 5907
4048,4048,15648,70005342,10000,-1,1,IL,USA,17,31,31700,0,1,41.965447,-87.663195,Census Tract 317
4049,4049,15649,70005342,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4056,4056,15720,70005355,10000,-1,1,IL,USA,17,31,71500,0,1,41.914242,-87.625092,Census Tract 715
4057,4057,15721,70005355,10002,1,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
4058,4058,15722,70005357,10000,-1,1,IL,USA,17,31,90100,0,1,42.015255,-87.813585,Census Tract 901
4059,4059,15723,70005357,10002,1,2,IL,USA,17,31,280100,0,0,41.885452,-87.643498,Census Tract 2801
4060,4060,15729,70005359,10000,-1,1,IL,USA,17,31,81800,0,1,41.893324,-87.63919,Census Tract 818
4061,4061,15730,70005359,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4062,4062,15735,70005360,10000,-1,1,IL,USA,17,31,30702,0,1,41.980812,-87.654528,Census Tract 307.06
4063,4063,15736,70005360,10002,1,2,IL,USA,17,31,30104,0,0,41.997277,-87.655986,Census Tract 301.04
4064,4064,15737,70005360,10003,1,3,IL,USA,17,31,30104,0,0,41.997277,-87.655986,Census Tract 301.04
4077,4077,15823,70005375,10000,-1,1,IL,USA,17,31,60400,0,1,41.950673,-87.666536,Census Tract 604
4078,4078,15824,70005375,10002,1,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
4079,4079,15825,70005375,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4080,4080,15826,70005375,30003,3,3,IL,USA,17,31,60400,0,0,41.950673,-87.666536,Census Tract 604
4096,4096,15914,70005392,10000,-1,1,IL,USA,17,31,50800,0,1,41.945009,-87.680928,Census Tract 508
4097,4097,15915,70005392,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4101,4101,15977,70005395,10000,-1,1,IL,USA,17,31,70400,0,1,41.928967,-87.656156,Census Tract 704
4102,4102,15978,70005395,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4117,4117,16012,70005409,10000,-1,1,IL,USA,17,31,160900,0,1,41.950082,-87.722608,Census Tract 1609
4118,4118,16013,70005409,20002,2,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
4119,4119,16014,70005409,30003,3,3,IL,USA,17,31,210100,0,0,41.944657,-87.700544,Census Tract 2101
4120,4120,16016,70005413,10000,-1,1,IL,USA,17,31,61902,0,1,41.946698,-87.639064,Census Tract 619.02
4121,4121,16017,70005413,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4122,4122,16018,70005413,30003,3,3,IL,USA,17,31,838300,0,0,41.901566,-87.638404,Census Tract 8383
4123,4123,16019,70005413,40003,4,3,IL,USA,17,31,838300,0,0,41.901566,-87.638404,Census Tract 8383
4132,4132,16039,70005417,10000,-1,1,IL,USA,17,31,831100,0,1,41.942856,-87.717496,Census Tract 8311
4133,4133,16040,70005417,10002,1,2,IL,USA,17,31,280100,0,0,41.885452,-87.643498,Census Tract 2801
4134,4134,16041,70005417,20002,2,2,IL,USA,17,31,210100,0,0,41.944657,-87.700544,Census Tract 2101
4137,4137,16053,70005425,10000,-1,1,IL,USA,17,31,70101,0,1,41.929522,-87.632325,Census Tract 701.01
4138,4138,16054,70005425,10002,1,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
4139,4139,16055,70005425,10003,1,3,IL,USA,17,31,842000,0,0,41.83496,-87.62517,Census Tract 8420
4140,4140,16056,70005425,20002,2,2,IL,USA,17,31,243500,0,0,41.892654,-87.652517,Census Tract 2435
4143,4143,16131,70005437,10000,-1,1,IL,USA,17,31,310700,0,1,41.85599,-87.664906,Census Tract 3107
4144,4144,16132,70005437,10002,1,2,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
4145,4145,16133,70005437,10003,1,3,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
4174,4174,16243,70005462,10000,-1,1,IL,USA,17,31,140200,0,1,41.970695,-87.713004,Census Tract 1402
4175,4175,16244,70005462,10002,1,2,IL,USA,17,31,330100,0,0,41.859295,-87.615523,Census Tract 3301
4176,4176,16249,70005465,10000,-1,1,IL,USA,17,31,221600,0,1,41.921246,-87.685098,Census Tract 2216
4177,4177,16250,70005465,10002,1,2,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
4178,4178,16251,70005465,20002,2,2,IL,USA,17,31,221600,0,0,41.921246,-87.685098,Census Tract 2216
4179,4179,16252,70005465,30003,3,3,IL,USA,17,31,221600,0,0,41.921246,-87.685098,Census Tract 2216
4180,4180,16253,70005465,40003,4,3,IL,USA,17,31,221600,0,0,41.921246,-87.685098,Census Tract 2216
4181,4181,16257,70005466,10000,-1,1,IL,USA,17,31,60800,0,1,41.953959,-87.642649,Census Tract 608
4182,4182,16258,70005466,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4183,4183,16261,70005467,10000,-1,1,IL,USA,17,31,160900,0,1,41.950082,-87.722608,Census Tract 1609
4184,4184,16262,70005467,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4185,4185,16263,70005467,20002,2,2,IL,USA,17,31,241200,0,0,41.906707,-87.684686,Census Tract 2412
4200,4200,16334,70005475,10000,-1,1,IL,USA,17,31,10503,0,1,42.000321,-87.663126,Census Tract 105.03
4201,4201,16335,70005475,10002,1,2,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
4202,4202,16336,70005475,10003,1,3,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
4203,4203,16348,70005477,10000,-1,1,IL,USA,17,31,40600,0,1,41.966834,-87.684018,Census Tract 406
4204,4204,16349,70005477,10003,1,3,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
4205,4205,16350,70005477,20002,2,2,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
4206,4206,16351,70005477,20003,2,3,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
4209,4209,16368,70005479,10000,-1,1,IL,USA,17,31,410500,0,1,41.797831,-87.603742,Census Tract 4105
4210,4210,16369,70005479,10002,1,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
4211,4211,16370,70005479,20002,2,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
4227,4227,16410,70005491,10000,-1,1,IL,USA,17,31,50200,0,1,41.95774,-87.683717,Census Tract 502
4228,4228,16411,70005491,10002,1,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4229,4229,16412,70005491,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4230,4230,16417,70005493,10000,-1,1,IL,USA,17,31,31700,0,1,41.965447,-87.663195,Census Tract 317
4231,4231,16418,70005493,10002,1,2,IL,USA,17,31,611200,0,0,41.804994,-87.662441,Census Tract 6112
4232,4232,16419,70005493,20002,2,2,IL,USA,17,31,10600,0,0,42.006277,-87.667683,Census Tract 106
4238,4238,16438,70005495,10000,-1,1,IL,USA,17,31,30500,0,1,41.987226,-87.664936,Census Tract 305
4239,4239,16439,70005495,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4240,4240,16440,70005495,20002,2,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
4245,4245,16493,70005500,10000,-1,1,IL,USA,17,31,62100,0,1,41.942691,-87.65177,Census Tract 621
4246,4246,16494,70005500,20002,2,2,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
4247,4247,16495,70005500,20003,2,3,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
4248,4248,16498,70005501,10000,-1,1,IL,USA,17,31,60900,0,1,41.951517,-87.641778,Census Tract 609
4249,4249,16499,70005501,10002,1,2,IL,USA,17,31,81300,0,0,41.898335,-87.620753,Census Tract 813
4250,4250,16500,70005501,20002,2,2,IL,USA,17,31,320600,0,0,41.870554,-87.616596,Census Tract 3206
4251,4251,16504,70005502,10000,-1,1,IL,USA,17,31,81201,0,1,41.899154,-87.626212,Census Tract 812.01
4252,4252,16505,70005502,10002,1,2,IL,USA,17,31,243400,0,0,41.892558,-87.659848,Census Tract 2434
4253,4253,16506,70005502,20002,2,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
4254,4254,16510,70005506,10000,-1,1,IL,USA,17,31,411200,0,1,41.790562,-87.594017,Census Tract 4112
4255,4255,16511,70005506,10002,1,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
4256,4256,16512,70005506,10003,1,3,IL,USA,17,31,833100,0,0,41.879078,-87.657046,Census Tract 8331
4257,4257,16513,70005506,20002,2,2,IL,USA,17,31,390500,0,0,41.805978,-87.599199,Census Tract 3905
4258,4258,16514,70005506,30002,3,2,IL,USA,17,31,310500,0,0,41.855248,-87.65474,Census Tract 3105
4259,4259,16515,70005506,40003,4,3,IL,USA,17,31,411200,0,0,41.790562,-87.594017,Census Tract 4112
4260,4260,16518,70005508,10000,-1,1,IL,USA,17,31,70102,0,1,41.930583,-87.642202,Census Tract 701.02
4261,4261,16519,70005508,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4282,4282,16665,70005523,10000,-1,1,IL,USA,17,31,160200,0,1,41.958794,-87.7384,Census Tract 1602
4283,4283,16666,70005523,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
4284,4284,16667,70005523,20002,2,2,IL,USA,17,31,280100,0,0,41.885452,-87.643498,Census Tract 2801
4294,4294,16735,70005528,10000,-1,1,IL,USA,17,31,837800,0,1,41.88475,-87.684127,Census Tract 8378
4295,4295,16736,70005528,10002,1,2,IL,USA,17,31,833100,0,0,41.879078,-87.657046,Census Tract 8331
4296,4296,16737,70005528,10003,1,3,IL,USA,17,31,320600,0,0,41.870554,-87.616596,Census Tract 3206
4306,4306,16757,70005534,10000,-1,1,IL,USA,17,31,71200,0,1,41.921855,-87.646211,Census Tract 712
4307,4307,16758,70005534,10002,1,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4308,4308,16759,70005534,20002,2,2,IL,USA,17,31,31100,0,0,41.972668,-87.663866,Census Tract 311
4309,4309,16760,70005534,20003,2,3,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
4313,4313,16769,70005537,10000,-1,1,IL,USA,17,31,222800,0,1,41.915435,-87.715095,Census Tract 2228
4314,4314,16770,70005537,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4315,4315,16771,70005537,10003,1,3,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4316,4316,16772,70005537,20002,2,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
4324,4324,16804,70005545,10000,-1,1,IL,USA,17,31,242000,0,1,41.899737,-87.664954,Census Tract 2420
4325,4325,16805,70005545,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
4326,4326,16810,70005547,10000,-1,1,IL,USA,17,31,839600,0,1,41.827443,-87.619249,Census Tract 8396
4327,4327,16811,70005547,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4328,4328,16847,70005554,10000,-1,1,IL,USA,17,31,839800,0,1,41.835067,-87.643162,Census Tract 8398
4329,4329,16848,70005554,10002,1,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4330,4330,16849,70005554,10003,1,3,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4331,4331,16850,70005554,20002,2,2,IL,USA,17,31,310400,0,0,41.856507,-87.652261,Census Tract 3104
4332,4332,16851,70005554,30003,3,3,IL,USA,17,31,839900,0,0,41.827346,-87.648454,Census Tract 8399
4352,4352,16899,70005573,10000,-1,1,IL,USA,17,31,330100,0,1,41.859295,-87.615523,Census Tract 3301
4353,4353,16900,70005573,20002,2,2,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
4354,4354,16901,70005573,30003,3,3,IL,USA,17,31,411000,0,0,41.787227,-87.577462,Census Tract 4110
4368,4368,16935,70005581,10000,-1,1,IL,USA,17,31,320100,0,1,41.886447,-87.619467,Census Tract 3201
4369,4369,16936,70005581,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4379,4379,17003,70005590,10000,-1,1,IL,USA,17,31,242500,0,1,41.899446,-87.689319,Census Tract 2425
4380,4380,17004,70005590,20002,2,2,IL,USA,17,31,161200,0,0,41.942549,-87.73857,Census Tract 1612
4381,4381,17005,70005590,30003,3,3,IL,USA,17,31,241300,0,0,41.906772,-87.681025,Census Tract 2413
4391,4391,17032,70005600,10000,-1,1,IL,USA,17,31,70101,0,1,41.929522,-87.632325,Census Tract 701.01
4392,4392,17033,70005600,10003,1,3,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4411,4411,17079,70005622,10000,-1,1,IL,USA,17,31,330100,0,1,41.859295,-87.615523,Census Tract 3301
4412,4412,17080,70005622,10002,1,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
4413,4413,17081,70005622,20003,2,3,IL,USA,17,31,330200,0,0,41.865578,-87.630568,Census Tract 3302
4414,4414,17082,70005622,30002,3,2,IL,USA,17,31,411100,0,0,41.790455,-87.589701,Census Tract 4111
4415,4415,17083,70005623,10000,-1,1,IL,USA,17,31,60900,0,1,41.951517,-87.641778,Census Tract 609
4416,4416,17084,70005623,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4417,4417,17085,70005624,10000,-1,1,IL,USA,17,31,839100,0,1,41.880986,-87.63307,Census Tract 8391
4418,4418,17086,70005624,10002,1,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
4419,4419,17087,70005624,10003,1,3,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
4420,4420,17091,70005626,10000,-1,1,IL,USA,17,31,81800,0,1,41.893324,-87.63919,Census Tract 818
4421,4421,17092,70005626,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4422,4422,17097,70005629,10000,-1,1,IL,USA,17,31,832600,0,1,41.914754,-87.654465,Census Tract 8326
4423,4423,17098,70005629,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4424,4424,17099,70005629,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4427,4427,17115,70005638,10000,-1,1,IL,USA,17,31,31300,0,1,41.973765,-87.64653,Census Tract 313
4428,4428,17116,70005638,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4429,4429,17127,70005645,10000,-1,1,IL,USA,17,31,32100,0,1,41.958154,-87.653018,Census Tract 321
4430,4430,17128,70005645,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4431,4431,17129,70005645,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4432,4432,17131,70005647,10000,-1,1,IL,USA,17,31,70102,0,1,41.930583,-87.642202,Census Tract 701.02
4433,4433,17132,70005647,10002,1,2,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
4434,4434,17133,70005647,10003,1,3,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
4435,4435,17136,70005649,10000,-1,1,IL,USA,17,31,50200,0,1,41.95774,-87.683717,Census Tract 502
4436,4436,17137,70005649,10002,1,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
4437,4437,17138,70005649,20002,2,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
4438,4438,17139,70005649,30003,3,3,IL,USA,17,31,50200,0,0,41.95774,-87.683717,Census Tract 502
4439,4439,17140,70005649,40003,4,3,IL,USA,17,31,50200,0,0,41.95774,-87.683717,Census Tract 502
4440,4440,17142,70005654,10000,-1,1,IL,USA,17,31,340500,0,1,41.834518,-87.632917,Census Tract 3405
4441,4441,17143,70005654,10002,1,2,IL,USA,17,31,842200,0,0,41.904728,-87.64922,Census Tract 8422
4442,4442,17144,70005654,20002,2,2,IL,USA,17,31,839600,0,0,41.827443,-87.619249,Census Tract 8396
4445,4445,17173,70005662,10000,-1,1,IL,USA,17,31,610800,0,1,41.812708,-87.638408,Census Tract 6108
4446,4446,17174,70005662,20002,2,2,IL,USA,17,31,842600,0,0,41.816219,-87.651695,Census Tract 8426
4447,4447,17175,70005662,30003,3,3,IL,USA,17,31,842600,0,0,41.816219,-87.651695,Census Tract 8426
4448,4448,17181,70005663,10000,-1,1,IL,USA,17,31,831900,0,1,41.945169,-87.668791,Census Tract 8319
4449,4449,17182,70005663,10002,1,2,IL,USA,17,31,280400,0,0,41.886009,-87.671885,Census Tract 2804
4458,4458,17297,70005677,10000,-1,1,IL,USA,17,31,720200,0,1,41.713042,-87.666054,Census Tract 7202
4459,4459,17298,70005677,10002,1,2,IL,USA,17,31,720100,0,0,41.727616,-87.674736,Census Tract 7201
4467,4467,17339,70005682,10000,-1,1,IL,USA,17,31,61901,0,1,41.943244,-87.643458,Census Tract 619.01
4468,4468,17340,70005682,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4469,4469,17341,70005682,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4481,4481,17407,70005693,10000,-1,1,IL,USA,17,31,243100,0,1,41.892355,-87.674507,Census Tract 2431
4482,4482,17408,70005693,10002,1,2,IL,USA,17,31,81800,0,0,41.893324,-87.63919,Census Tract 818
4483,4483,17409,70005693,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4484,4484,17435,70005696,10000,-1,1,IL,USA,17,31,31900,0,1,41.963374,-87.670184,Census Tract 319
4485,4485,17436,70005696,10002,1,2,IL,USA,17,31,833000,0,0,41.885286,-87.657249,Census Tract 8330
4486,4486,17437,70005696,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4487,4487,17441,70005698,10000,-1,1,IL,USA,17,31,62200,0,1,41.942585,-87.656644,Census Tract 622
4488,4488,17442,70005698,10003,1,3,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
4489,4489,17443,70005698,20002,2,2,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
4490,4490,17444,70005698,30002,3,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4491,4491,17450,70005704,10000,-1,1,IL,USA,17,31,50700,0,1,41.945071,-87.676059,Census Tract 507
4492,4492,17451,70005704,10002,1,2,IL,USA,17,31,841000,0,0,41.847544,-87.610198,Census Tract 8410
4493,4493,17452,70005704,20002,2,2,IL,USA,17,31,90200,0,0,42.005594,-87.813096,Census Tract 902
4494,4494,17466,70005710,10000,-1,1,IL,USA,17,31,70103,0,1,41.926811,-87.642605,Census Tract 701.03
4495,4495,17467,70005710,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4508,4508,17482,70005717,10000,-1,1,IL,USA,17,31,842300,0,1,41.908386,-87.660086,Census Tract 8423
4509,4509,17483,70005717,10002,1,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
4534,4534,17613,70005751,10000,-1,1,IL,USA,17,31,320100,0,1,41.886447,-87.619467,Census Tract 3201
4535,4535,17614,70005751,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4536,4536,17617,70005752,10000,-1,1,IL,USA,17,31,40600,0,1,41.966834,-87.684018,Census Tract 406
4537,4537,17618,70005752,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
4538,4538,17621,70005755,10000,-1,1,IL,USA,17,31,160601,0,1,41.959398,-87.703294,Census Tract 1606.01
4539,4539,17622,70005755,30003,3,3,IL,USA,17,31,839000,0,0,41.869903,-87.631213,Census Tract 8390
4548,4548,17644,70005765,10000,-1,1,IL,USA,17,31,241400,0,1,41.906031,-87.675314,Census Tract 2414
4549,4549,17645,70005765,10002,1,2,IL,USA,17,31,833000,0,0,41.885286,-87.657249,Census Tract 8330
4550,4550,17646,70005765,20002,2,2,IL,USA,17,31,833000,0,0,41.885286,-87.657249,Census Tract 8330
4551,4551,17663,70005766,10000,-1,1,IL,USA,17,31,30800,0,1,41.979912,-87.664188,Census Tract 308
4552,4552,17664,70005766,10002,1,2,IL,USA,17,31,31900,0,0,41.963374,-87.670184,Census Tract 319
4556,4556,17677,70005776,10000,-1,1,IL,USA,17,31,30601,0,1,41.988972,-87.654609,Census Tract 306.01
4557,4557,17678,70005776,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4558,4558,17679,70005776,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4559,4559,17681,70005779,10000,-1,1,IL,USA,17,31,841900,0,1,41.868458,-87.642965,Census Tract 8419
4560,4560,17682,70005779,10002,1,2,IL,USA,17,31,81500,0,0,41.892906,-87.626079,Census Tract 815
4561,4561,17683,70005779,20002,2,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
4562,4562,17729,70005784,10000,-1,1,IL,USA,17,31,230900,0,1,41.906692,-87.71035,Census Tract 2309
4563,4563,17730,70005784,10002,1,2,IL,USA,17,31,833100,0,0,41.879078,-87.657046,Census Tract 8331
4564,4564,17731,70005784,20002,2,2,IL,USA,17,31,833100,0,0,41.879078,-87.657046,Census Tract 8331
4575,4575,17763,70005790,10000,-1,1,IL,USA,17,31,63100,0,1,41.938232,-87.64678,Census Tract 631
4576,4576,17764,70005790,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4582,4582,17778,70005792,10000,-1,1,IL,USA,17,31,70200,0,1,41.929078,-87.646293,Census Tract 702
4583,4583,17779,70005792,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4584,4584,17780,70005793,10000,-1,1,IL,USA,17,31,51300,0,1,41.935996,-87.67584,Census Tract 513
4585,4585,17781,70005793,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4586,4586,17782,70005793,20002,2,2,IL,USA,17,31,750500,0,0,41.684615,-87.671233,Census Tract 7505
4592,4592,17797,70005803,10000,-1,1,IL,USA,17,31,243200,0,1,41.892433,-87.669624,Census Tract 2432
4593,4593,17798,70005803,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4594,4594,17799,70005803,20003,2,3,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
4595,4595,17800,70005803,30003,3,3,IL,USA,17,31,242200,0,0,41.899589,-87.674719,Census Tract 2422
4603,4603,17839,70005808,10000,-1,1,IL,USA,17,31,420400,0,1,41.78317,-87.603558,Census Tract 4204
4604,4604,17840,70005808,10002,1,2,IL,USA,17,31,843500,0,0,41.840983,-87.697566,Census Tract 8435
4605,4605,17841,70005808,20002,2,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
4608,4608,17853,70005818,10000,-1,1,IL,USA,17,31,62000,0,1,41.942577,-87.647079,Census Tract 620
4609,4609,17854,70005818,10002,1,2,IL,USA,17,31,760801,0,0,41.983487,-87.84485,Census Tract 7608.01
4613,4613,17879,70005824,10000,-1,1,IL,USA,17,31,740300,0,1,41.695069,-87.710723,Census Tract 7403
4614,4614,17880,70005824,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4628,4628,17897,70005841,10000,-1,1,IL,USA,17,31,20100,0,1,42.015721,-87.687117,Census Tract 201
4629,4629,17898,70005841,10002,1,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4630,4630,17899,70005841,10003,1,3,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
4635,4635,17909,70005844,10000,-1,1,IL,USA,17,31,110502,0,1,41.970286,-87.759852,Census Tract 1105.02
4636,4636,17910,70005844,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
4637,4637,17911,70005844,30003,3,3,IL,USA,17,31,120200,0,0,41.994532,-87.757611,Census Tract 1202
4648,4648,18005,70005851,10000,-1,1,IL,USA,17,31,30200,0,1,41.994441,-87.66523,Census Tract 302
4649,4649,18006,70005851,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
4650,4650,18007,70005851,30003,3,3,IL,USA,17,31,30800,0,0,41.979912,-87.664188,Census Tract 308
