,Unnamed: 0.1,Unnamed: 0,sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude,tract
168,168,891,30002095,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
173,173,927,30002280,10000,-1,1,IL,USA,17,31,60900,0,1,41.951517,-87.641778,Census Tract 609
174,174,928,30002280,10002,1,2,IL,USA,17,31,420400,0,0,41.78317,-87.603558,Census Tract 4204
175,175,932,30002280,20002,2,2,IL,USA,17,31,20802,0,0,41.994059,-87.694631,Census Tract 208.02
176,176,934,30002447,10000,-1,1,IL,USA,17,31,410100,0,1,41.801582,-87.581026,Census Tract 4101
177,177,935,30002447,10002,1,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
178,178,936,30002447,10003,1,3,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
179,179,939,30002518,10000,-1,1,IL,USA,17,31,62100,0,1,41.942691,-87.65177,Census Tract 621
180,180,940,30002518,10002,1,2,IL,USA,17,31,81800,0,0,41.893324,-87.63919,Census Tract 818
181,181,944,30002518,20002,2,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
182,182,956,30002526,10000,-1,1,IL,USA,17,31,31900,0,1,41.963374,-87.670184,Census Tract 319
183,183,957,30002526,10002,1,2,IL,USA,17,31,81403,0,0,41.892991,-87.620956,Census Tract 814.03
184,184,961,30002526,20002,2,2,IL,USA,17,31,50100,0,0,41.957845,-87.676373,Census Tract 501
185,185,962,30002526,30003,3,3,IL,USA,17,31,60200,0,0,41.957904,-87.671517,Census Tract 602
204,204,1039,30003029,10000,-1,1,IL,USA,17,31,700501,0,1,41.746213,-87.690342,Census Tract 7005.01
205,205,1040,30003029,10002,1,2,IL,USA,17,31,500300,0,0,41.689315,-87.60537,Census Tract 5003
206,206,1060,30003336,10000,-1,1,IL,USA,17,31,420700,0,1,41.776691,-87.610693,Census Tract 4207
207,207,1061,30003336,10002,1,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
212,212,1096,30003463,10000,-1,1,IL,USA,17,31,310600,0,1,41.856333,-87.659564,Census Tract 3106
213,213,1097,30003463,10002,1,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
219,219,1134,30003632,10000,-1,1,IL,USA,17,31,81000,0,1,41.900266,-87.632109,Census Tract 810
220,220,1135,30003632,10002,1,2,IL,USA,17,31,841100,0,0,41.851644,-87.635661,Census Tract 8411
221,221,1144,30003695,10000,-1,1,IL,USA,17,31,63000,0,1,41.93631,-87.651562,Census Tract 630
222,222,1146,30003695,20002,2,2,IL,USA,17,31,81300,0,0,41.898335,-87.620753,Census Tract 813
223,223,1153,30003777,10000,-1,1,IL,USA,17,31,71500,0,1,41.914242,-87.625092,Census Tract 715
224,224,1154,30003777,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
225,225,1158,30003777,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
226,226,1160,30003805,10000,-1,1,IL,USA,17,31,843600,0,1,41.806765,-87.608949,Census Tract 8436
227,227,1161,30003805,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
228,228,1167,30003805,20002,2,2,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
233,233,1200,30003960,10000,-1,1,IL,USA,17,31,61901,0,1,41.943244,-87.643458,Census Tract 619.01
234,234,1201,30003960,10002,1,2,IL,USA,17,31,843300,0,0,41.863764,-87.69255,Census Tract 8433
235,235,1206,30003980,10000,-1,1,IL,USA,17,31,31100,0,1,41.972668,-87.663866,Census Tract 311
236,236,1207,30003980,10002,1,2,IL,USA,17,31,842200,0,0,41.904728,-87.64922,Census Tract 8422
242,242,1227,30004014,10000,-1,1,IL,USA,17,31,60900,0,1,41.951517,-87.641778,Census Tract 609
243,243,1228,30004014,10002,1,2,IL,USA,17,31,243300,0,0,41.892478,-87.664739,Census Tract 2433
247,247,1245,30004145,10000,-1,1,IL,USA,17,31,63000,0,1,41.93631,-87.651562,Census Tract 630
248,248,1246,30004145,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
249,249,1252,30004145,20002,2,2,IL,USA,17,31,833000,0,0,41.885286,-87.657249,Census Tract 8330
256,256,1303,30004389,10000,-1,1,IL,USA,17,31,70700,0,1,41.930652,-87.674104,Census Tract 707
257,257,1304,30004389,10002,1,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
258,258,1307,30004389,20002,2,2,IL,USA,17,31,70700,0,1,41.930652,-87.674104,Census Tract 707
259,259,1308,30004407,10000,-1,1,IL,USA,17,31,140800,0,1,41.964514,-87.702847,Census Tract 1408
260,260,1309,30004407,10003,1,3,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
261,261,1314,30004407,20002,2,2,IL,USA,17,31,842300,0,0,41.908386,-87.660086,Census Tract 8423
266,266,1367,30004621,10000,-1,1,IL,USA,17,31,320600,0,1,41.870554,-87.616596,Census Tract 3206
267,267,1368,30004621,10002,1,2,IL,USA,17,31,980100,0,0,41.785981,-87.7509,Census Tract 9801
278,278,1459,30005363,10000,-1,1,IL,USA,17,31,250400,0,1,41.912908,-87.775394,Census Tract 2504
279,279,1466,30005363,20003,2,3,IL,USA,17,31,241200,0,0,41.906707,-87.684686,Census Tract 2412
280,280,1534,30005724,10000,-1,1,IL,USA,17,31,823304,0,1,41.681416,-87.702771,Census Tract 8233.04
281,281,1535,30005724,10002,1,2,IL,USA,17,31,838800,0,0,41.683404,-87.574061,Census Tract 8388
282,282,1555,30005783,10000,-1,1,IL,USA,17,31,10501,0,1,42.009412,-87.663958,Census Tract 105.01
283,283,1556,30005783,10002,1,2,IL,USA,17,31,242000,0,0,41.899737,-87.664954,Census Tract 2420
284,284,1560,30005783,20002,2,2,IL,USA,17,31,81202,0,0,41.904377,-87.624237,Census Tract 812.02
285,285,1564,30005804,10000,-1,1,IL,USA,17,31,140602,0,1,41.964652,-87.721017,Census Tract 1406.02
286,286,1567,30005804,20002,2,2,IL,USA,17,31,40402,0,0,41.972545,-87.678818,Census Tract 404.02
298,298,1674,30005956,10000,-1,1,IL,USA,17,31,30703,0,1,41.978875,-87.657871,Census Tract 307.03
