,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8347,black,,,,,
Census Tract 1510.01,white,218.0,241.5,0.10779816513761468,23.5,1.0
Census Tract 1510.02,white,149.3,172.8,0.15740120562625584,23.5,1.0
Census Tract 1606.02,white,,,,,
Census Tract 1406.01,white,,,,,
Census Tract 1407.01,white,,,,,
Census Tract 1406.02,white,,,,,
Census Tract 3905,black,,,,,
Census Tract 8418,black,,,,,
Census Tract 8425,black,122.5,194.8,0.5902040816326531,72.30000000000001,1.0
Census Tract 8426,white,,,,,
Census Tract 8435,white,196.9,313.09999999999997,0.5901472828847129,116.19999999999996,1.0
Census Tract 8434,white,153.5,189.3,0.2332247557003258,35.80000000000001,1.0
Census Tract 1403.02,white,,,,,
Census Tract 1105.01,white,,,,,
Census Tract 3904,black,,,,,
Census Tract 8432,white,,,,,
Census Tract 8408,white,,,,,
Census Tract 1105.02,white,,,,,
Census Tract 7608.02,white,,,,,
Census Tract 1505.02,white,,,,,
Census Tract 8431,white,,,,,
Census Tract 8343,black,,,,,
Census Tract 8439,black,,,,,
Census Tract 8312,white,,,,,
Census Tract 8316,white,,,,,
Census Tract 8315,white,,,,,
Census Tract 8311,white,,,,,
Census Tract 8317,white,,,,,
Census Tract 2715,black,,,,,
Census Tract 4402.02,black,,,,,
Census Tract 4401.02,black,,,,,
Census Tract 307.02,white,152.79999999999998,188.7,0.23494764397905765,35.900000000000006,1.0
Census Tract 306.03,white,,,,,
Census Tract 307.01,white,194.3,203.0,0.044776119402985017,8.699999999999989,1.0
Census Tract 8363,black,,,,,
Census Tract 8383,white,,,,,
Census Tract 8398,white,,,,,
Census Tract 8366,black,,,,,
Census Tract 7302.02,black,,,,,
Census Tract 4301.01,black,,,,,
Census Tract 633.02,white,271.7,315.79999999999995,0.1623113728376885,44.099999999999966,1.0
Census Tract 8362,black,,,,,
Census Tract 714,white,,,,,
Census Tract 8401,white,,,,,
Census Tract 5805.02,white,,,,,
Census Tract 8414,white,,,,,
Census Tract 814.01,white,151.2,153.2,0.013227513227513229,2.0,1.0
Census Tract 814.03,white,195.2,198.2,0.015368852459016395,3.0,1.0
Census Tract 307.03,white,156.10000000000002,166.6,0.0672645739910312,10.499999999999972,1.0
Census Tract 8360,black,,,,,
Census Tract 8358,black,,,,,
Census Tract 8359,black,,,,,
Census Tract 8345,black,,,,,
Census Tract 8436,black,,,,,
Census Tract 5805.01,white,,,,,
Census Tract 8346,black,,,,,
Census Tract 8318,white,,,,,
Census Tract 716,white,339.2,360.79999999999995,0.06367924528301877,21.599999999999966,1.0
Census Tract 8326,white,,,,,
Census Tract 619.01,white,234.8,273.20000000000005,0.16354344122657594,38.400000000000034,2.0
Census Tract 8399,white,,,,,
Census Tract 301.04,white,,,,,
Census Tract 8397,white,,,,,
Census Tract 8352,white,154.39999999999998,206.59999999999997,0.3380829015544041,52.19999999999999,2.0
Census Tract 8339,black,,,,,
Census Tract 8368,black,,,,,
Census Tract 8388,black,,,,,
Census Tract 8367,black,,,,,
Census Tract 8322,white,258.6,260.3,0.006573859242072655,1.6999999999999886,1.0
Census Tract 2522.01,black,,,,,
Census Tract 8310,white,224.3,237.5,0.05884975479268831,13.199999999999989,1.0
Census Tract 8324,white,,,,,
Census Tract 701.03,white,337.7,376.1,0.11371039384068711,38.400000000000034,2.0
Census Tract 2207.01,white,159.3,167.2,0.049591964846201986,7.899999999999977,1.0
Census Tract 8416,white,,,,,
Census Tract 6603.01,white,,,,,
Census Tract 6603.02,white,,,,,
Census Tract 3018.02,white,,,,,
Census Tract 8340,black,,,,,
Census Tract 8342,black,,,,,
Census Tract 7302.01,black,,,,,
Census Tract 8355,white,,,,,
Census Tract 8395,white,,,,,
Census Tract 8392,white,,,,,
Census Tract 5305.02,black,,,,,
Census Tract 8404,white,,,,,
Census Tract 8410,white,244.70000000000002,285.90000000000003,0.16836943195749904,41.20000000000002,1.0
Census Tract 301.01,white,,,,,
Census Tract 7003.02,black,,,,,
Census Tract 7004.02,black,,,,,
Census Tract 7004.01,black,,,,,
Census Tract 8305,white,,,,,
Census Tract 8417,white,,,,,
Census Tract 6401,white,,,,,
Census Tract 8407,white,,,,,
Census Tract 8413,white,,,,,
Census Tract 3018.01,white,,,,,
Census Tract 608,white,,,,,
Census Tract 8323,white,209.20000000000002,210.90000000000003,0.008126195028680769,1.700000000000017,1.0
Census Tract 8325,white,281.5,296.4,0.052930728241562974,14.899999999999977,1.0
